month,carrier_name,airport_name,predicted_arrival_delay
9,PSA Airlines Inc.,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,PSA Airlines Inc.,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,PSA Airlines Inc.,"Kansas City, MO: Kansas City International",46.45570985573682
9,PSA Airlines Inc.,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,PSA Airlines Inc.,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,PSA Airlines Inc.,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,PSA Airlines Inc.,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,PSA Airlines Inc.,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,PSA Airlines Inc.,"Denver, CO: Denver International",46.45570985573682
9,PSA Airlines Inc.,"San Diego, CA: San Diego International",46.45570985573682
9,PSA Airlines Inc.,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,PSA Airlines Inc.,"Boston, MA: Logan International",46.45570985573682
9,PSA Airlines Inc.,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,PSA Airlines Inc.,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,PSA Airlines Inc.,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,PSA Airlines Inc.,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,PSA Airlines Inc.,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,SkyWest Airlines Inc.,Other,46.45570985573682
9,SkyWest Airlines Inc.,"Nashville, TN: Nashville International",46.45570985573682
9,SkyWest Airlines Inc.,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,SkyWest Airlines Inc.,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,SkyWest Airlines Inc.,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,SkyWest Airlines Inc.,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,SkyWest Airlines Inc.,"Kansas City, MO: Kansas City International",46.45570985573682
9,SkyWest Airlines Inc.,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,SkyWest Airlines Inc.,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,SkyWest Airlines Inc.,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,SkyWest Airlines Inc.,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,SkyWest Airlines Inc.,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,SkyWest Airlines Inc.,"Denver, CO: Denver International",46.45570985573682
9,SkyWest Airlines Inc.,"San Diego, CA: San Diego International",46.45570985573682
9,SkyWest Airlines Inc.,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,SkyWest Airlines Inc.,"Boston, MA: Logan International",46.45570985573682
9,SkyWest Airlines Inc.,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,SkyWest Airlines Inc.,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,SkyWest Airlines Inc.,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,SkyWest Airlines Inc.,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,SkyWest Airlines Inc.,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,Piedmont Airlines,Other,46.45570985573682
9,Piedmont Airlines,"Nashville, TN: Nashville International",46.45570985573682
9,Piedmont Airlines,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,Piedmont Airlines,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,Piedmont Airlines,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,Piedmont Airlines,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,Piedmont Airlines,"Kansas City, MO: Kansas City International",46.45570985573682
9,Piedmont Airlines,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,Piedmont Airlines,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,Piedmont Airlines,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,Piedmont Airlines,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,Piedmont Airlines,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,Piedmont Airlines,"Denver, CO: Denver International",46.45570985573682
9,Piedmont Airlines,"San Diego, CA: San Diego International",46.45570985573682
9,Piedmont Airlines,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,Piedmont Airlines,"Boston, MA: Logan International",46.45570985573682
9,Piedmont Airlines,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,Piedmont Airlines,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,Piedmont Airlines,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,Piedmont Airlines,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,Piedmont Airlines,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,Horizon Air,Other,46.45570985573682
9,Horizon Air,"Nashville, TN: Nashville International",46.45570985573682
9,Horizon Air,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,Horizon Air,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,Horizon Air,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,Horizon Air,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,Horizon Air,"Kansas City, MO: Kansas City International",46.45570985573682
9,Horizon Air,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,Horizon Air,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,Horizon Air,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,Horizon Air,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,Horizon Air,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,Horizon Air,"Denver, CO: Denver International",46.45570985573682
9,Horizon Air,"San Diego, CA: San Diego International",46.45570985573682
9,Horizon Air,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,Horizon Air,"Boston, MA: Logan International",46.45570985573682
9,Horizon Air,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,Horizon Air,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,Horizon Air,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,Horizon Air,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,Horizon Air,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,United Air Lines Network,Other,46.45570985573682
9,United Air Lines Network,"Nashville, TN: Nashville International",46.45570985573682
9,United Air Lines Network,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,United Air Lines Network,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,United Air Lines Network,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,United Air Lines Network,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,United Air Lines Network,"Kansas City, MO: Kansas City International",46.45570985573682
